path,class,split
train/Clean/Clean (100).jpg,Clean,Train
train/Clean/Clean (101).jpg,Clean,Train
train/Clean/Clean (103).jpg,Clean,Train
train/Clean/Clean (104).jpg,Clean,Train
train/Clean/Clean (105).jpg,Clean,Train
train/Clean/Clean (107).jpg,Clean,Train
train/Clean/Clean (110).jpg,Clean,Train
train/Clean/Clean (111).jpg,Clean,Train
train/Clean/Clean (112).jpg,Clean,Train
train/Clean/Clean (115).jpg,Clean,Train
train/Clean/Clean (116).jpg,Clean,Train
train/Clean/Clean (118).jpg,Clean,Train
train/Clean/Clean (119).jpg,Clean,Train
train/Clean/Clean (12).jpg,Clean,Train
train/Clean/Clean (120).jpg,Clean,Train
train/Clean/Clean (124).jpg,Clean,Train
train/Clean/Clean (127).jpg,Clean,Train
train/Clean/Clean (129).jpg,Clean,Train
train/Clean/Clean (13).jpg,Clean,Train
train/Clean/Clean (131).jpg,Clean,Train
train/Clean/Clean (132).jpg,Clean,Train
train/Clean/Clean (134).jpg,Clean,Train
train/Clean/Clean (135).JPG,Clean,Train
train/Clean/Clean (136).JPG,Clean,Train
train/Clean/Clean (138).jpg,Clean,Train
train/Clean/Clean (139).JPG,Clean,Train
train/Clean/Clean (14).jpg,Clean,Train
train/Clean/Clean (140).JPG,Clean,Train
train/Clean/Clean (143).jpg,Clean,Train
train/Clean/Clean (148).jpg,Clean,Train
train/Clean/Clean (15).JPG,Clean,Train
train/Clean/Clean (151).jpg,Clean,Train
train/Clean/Clean (153).jpg,Clean,Train
train/Clean/Clean (156).jpg,Clean,Train
train/Clean/Clean (158).jpg,Clean,Train
train/Clean/Clean (159).jpg,Clean,Train
train/Clean/Clean (16).JPG,Clean,Train
train/Clean/Clean (160).jpg,Clean,Train
train/Clean/Clean (168).jpg,Clean,Train
train/Clean/Clean (169).jpg,Clean,Train
train/Clean/Clean (17).jpg,Clean,Train
train/Clean/Clean (173).jpg,Clean,Train
train/Clean/Clean (176).jpg,Clean,Train
train/Clean/Clean (177).jpg,Clean,Train
train/Clean/Clean (181).jpg,Clean,Train
train/Clean/Clean (182).jpg,Clean,Train
train/Clean/Clean (184).jpg,Clean,Train
train/Clean/Clean (185).jpg,Clean,Train
train/Clean/Clean (187).jpg,Clean,Train
train/Clean/Clean (189).jpg,Clean,Train
train/Clean/Clean (190).jpg,Clean,Train
train/Clean/Clean (193).png,Clean,Train
train/Clean/Clean (2).jpg,Clean,Train
train/Clean/Clean (20).jpg,Clean,Train
train/Clean/Clean (21).jpg,Clean,Train
train/Clean/Clean (22).jpg,Clean,Train
train/Clean/Clean (23).jpg,Clean,Train
train/Clean/Clean (24).jpg,Clean,Train
train/Clean/Clean (25).jpg,Clean,Train
train/Clean/Clean (28).jpg,Clean,Train
train/Clean/Clean (29).jpg,Clean,Train
train/Clean/Clean (3).jpg,Clean,Train
train/Clean/Clean (32).jpg,Clean,Train
train/Clean/Clean (35).jpg,Clean,Train
train/Clean/Clean (38).jpg,Clean,Train
train/Clean/Clean (4).jpg,Clean,Train
train/Clean/Clean (41).jpg,Clean,Train
train/Clean/Clean (42).jpg,Clean,Train
train/Clean/Clean (43).jpg,Clean,Train
train/Clean/Clean (44).jpg,Clean,Train
train/Clean/Clean (46).jpg,Clean,Train
train/Clean/Clean (47).jpg,Clean,Train
train/Clean/Clean (48).jpg,Clean,Train
train/Clean/Clean (49).jpg,Clean,Train
train/Clean/Clean (50).jpg,Clean,Train
train/Clean/Clean (53).jpg,Clean,Train
train/Clean/Clean (55).jpg,Clean,Train
train/Clean/Clean (56).jpg,Clean,Train
train/Clean/Clean (57).jpg,Clean,Train
train/Clean/Clean (58).jpg,Clean,Train
train/Clean/Clean (6).jpg,Clean,Train
train/Clean/Clean (60).jpg,Clean,Train
train/Clean/Clean (64).jpg,Clean,Train
train/Clean/Clean (65).jpg,Clean,Train
train/Clean/Clean (67).jpg,Clean,Train
train/Clean/Clean (69).jpg,Clean,Train
train/Clean/Clean (70).jpg,Clean,Train
train/Clean/Clean (71).jpg,Clean,Train
train/Clean/Clean (72).jpg,Clean,Train
train/Clean/Clean (74).jpg,Clean,Train
train/Clean/Clean (75).jpg,Clean,Train
train/Clean/Clean (77).jpg,Clean,Train
train/Clean/Clean (78).jpg,Clean,Train
train/Clean/Clean (8).jpg,Clean,Train
train/Clean/Clean (82).jpg,Clean,Train
train/Clean/Clean (85).jpg,Clean,Train
train/Clean/Clean (88).jpg,Clean,Train
train/Clean/Clean (89).jpg,Clean,Train
train/Clean/Clean (9).jpg,Clean,Train
train/Clean/Clean (91).jpg,Clean,Train
train/Clean/Clean (94).jpg,Clean,Train
train/Clean/Clean (96).jpg,Clean,Train
train/Clean/Clean (97).jpg,Clean,Train
train/Clean/Clean (98).jpg,Clean,Train
train/Clean/Clean (99).jpg,Clean,Train
val/Clean/Clean (170).jpg,Clean,Train
val/Clean/Clean (179).jpg,Clean,Train
val/Clean/Clean (27).jpg,Clean,Train
val/Clean/Clean (34).jpg,Clean,Train
val/Clean/Clean (66).jpg,Clean,Train
val/Clean/Clean (73).jpg,Clean,Train
val/Clean/Clean (80).jpg,Clean,Train
val/Clean/Clean (84).jpg,Clean,Train
val/Clean/Clean (95).jpg,Clean,Train
test/Dusty/Dust (106).jpg,Dusty,Train
test/Dusty/Dust (134).jpg,Dusty,Train
test/Dusty/Dust (155).jpg,Dusty,Train
test/Dusty/Dust (159).jpg,Dusty,Train
test/Dusty/Dust (16).jpg,Dusty,Train
test/Dusty/Dust (169).jpg,Dusty,Train
test/Dusty/Dust (186).jpg,Dusty,Train
test/Dusty/Dust (68).jpg,Dusty,Train
train/Dusty/Dust (102).jpg,Dusty,Train
train/Dusty/Dust (103).jpg,Dusty,Train
train/Dusty/Dust (104).jpg,Dusty,Train
train/Dusty/Dust (105).jpg,Dusty,Train
train/Dusty/Dust (107).jpg,Dusty,Train
train/Dusty/Dust (108).jpg,Dusty,Train
train/Dusty/Dust (11).jpg,Dusty,Train
train/Dusty/Dust (111).jpg,Dusty,Train
train/Dusty/Dust (112).jpg,Dusty,Train
train/Dusty/Dust (115).jpg,Dusty,Train
train/Dusty/Dust (116).jpg,Dusty,Train
train/Dusty/Dust (117).jpg,Dusty,Train
train/Dusty/Dust (118).jpg,Dusty,Train
train/Dusty/Dust (119).jpg,Dusty,Train
train/Dusty/Dust (120).jpg,Dusty,Train
train/Dusty/Dust (121).jpg,Dusty,Train
train/Dusty/Dust (123).jpg,Dusty,Train
train/Dusty/Dust (124).jpg,Dusty,Train
train/Dusty/Dust (125).jpg,Dusty,Train
train/Dusty/Dust (127).jpg,Dusty,Train
train/Dusty/Dust (128).jpg,Dusty,Train
train/Dusty/Dust (129).jpg,Dusty,Train
train/Dusty/Dust (13).jpg,Dusty,Train
train/Dusty/Dust (130).jpg,Dusty,Train
train/Dusty/Dust (135).jpg,Dusty,Train
train/Dusty/Dust (136).jpg,Dusty,Train
train/Dusty/Dust (139).jpg,Dusty,Train
train/Dusty/Dust (140).jpg,Dusty,Train
train/Dusty/Dust (141).jpg,Dusty,Train
train/Dusty/Dust (142).jpg,Dusty,Train
train/Dusty/Dust (144).jpg,Dusty,Train
train/Dusty/Dust (145).jpg,Dusty,Train
train/Dusty/Dust (146).jpg,Dusty,Train
train/Dusty/Dust (148).jpg,Dusty,Train
train/Dusty/Dust (149).jpg,Dusty,Train
train/Dusty/Dust (15).jpg,Dusty,Train
train/Dusty/Dust (151).jpg,Dusty,Train
train/Dusty/Dust (152).jpg,Dusty,Train
train/Dusty/Dust (154).jpg,Dusty,Train
train/Dusty/Dust (158).jpg,Dusty,Train
train/Dusty/Dust (160).jpg,Dusty,Train
train/Dusty/Dust (162).jpg,Dusty,Train
train/Dusty/Dust (163).jpg,Dusty,Train
train/Dusty/Dust (167).jpg,Dusty,Train
train/Dusty/Dust (17).jpg,Dusty,Train
train/Dusty/Dust (173).jpg,Dusty,Train
train/Dusty/Dust (176).jpg,Dusty,Train
train/Dusty/Dust (177).jpg,Dusty,Train
train/Dusty/Dust (178).jpg,Dusty,Train
train/Dusty/Dust (179).jpg,Dusty,Train
train/Dusty/Dust (18).jpg,Dusty,Train
train/Dusty/Dust (180).jpg,Dusty,Train
train/Dusty/Dust (182).jpg,Dusty,Train
train/Dusty/Dust (183).jpg,Dusty,Train
train/Dusty/Dust (189).jpg,Dusty,Train
train/Dusty/Dust (2).jpg,Dusty,Train
train/Dusty/Dust (20).jpg,Dusty,Train
train/Dusty/Dust (22).jpg,Dusty,Train
train/Dusty/Dust (24).jpg,Dusty,Train
train/Dusty/Dust (25).jpg,Dusty,Train
train/Dusty/Dust (28).jpg,Dusty,Train
train/Dusty/Dust (29).jpg,Dusty,Train
train/Dusty/Dust (30).jpg,Dusty,Train
train/Dusty/Dust (31).jpg,Dusty,Train
train/Dusty/Dust (33).jpg,Dusty,Train
train/Dusty/Dust (37).jpg,Dusty,Train
train/Dusty/Dust (38).jpg,Dusty,Train
train/Dusty/Dust (4).jpg,Dusty,Train
train/Dusty/Dust (41).jpg,Dusty,Train
train/Dusty/Dust (42).jpg,Dusty,Train
train/Dusty/Dust (45).jpg,Dusty,Train
train/Dusty/Dust (47).jpg,Dusty,Train
train/Dusty/Dust (48).jpg,Dusty,Train
train/Dusty/Dust (5).jpg,Dusty,Train
train/Dusty/Dust (50).jpg,Dusty,Train
train/Dusty/Dust (51).jpg,Dusty,Train
train/Dusty/Dust (52).jpg,Dusty,Train
train/Dusty/Dust (54).jpg,Dusty,Train
train/Dusty/Dust (56).jpg,Dusty,Train
train/Dusty/Dust (57).jpg,Dusty,Train
train/Dusty/Dust (58).jpg,Dusty,Train
train/Dusty/Dust (59).jpg,Dusty,Train
train/Dusty/Dust (6).jpg,Dusty,Train
train/Dusty/Dust (60).jpg,Dusty,Train
train/Dusty/Dust (61).jpg,Dusty,Train
train/Dusty/Dust (62).jpg,Dusty,Train
train/Dusty/Dust (64).jpg,Dusty,Train
train/Dusty/Dust (69).jpg,Dusty,Train
train/Dusty/Dust (70).jpg,Dusty,Train
train/Dusty/Dust (72).jpg,Dusty,Train
train/Dusty/Dust (74).jpg,Dusty,Train
train/Dusty/Dust (75).jpg,Dusty,Train
train/Dusty/Dust (76).jpg,Dusty,Train
train/Dusty/Dust (77).jpg,Dusty,Train
train/Dusty/Dust (8).jpg,Dusty,Train
train/Dusty/Dust (80).jpg,Dusty,Train
train/Dusty/Dust (82).jpg,Dusty,Train
train/Dusty/Dust (84).jpg,Dusty,Train
train/Dusty/Dust (88).jpg,Dusty,Train
train/Dusty/Dust (89).jpg,Dusty,Train
train/Dusty/Dust (97).jpg,Dusty,Train
val/Dusty/Dust (12).jpg,Dusty,Train
val/Dusty/Dust (133).jpg,Dusty,Train
val/Dusty/Dust (137).jpg,Dusty,Train
val/Dusty/Dust (138).jpg,Dusty,Train
val/Dusty/Dust (161).jpg,Dusty,Train
val/Dusty/Dust (174).jpg,Dusty,Train
val/Dusty/Dust (175).jpg,Dusty,Train
val/Dusty/Dust (39).jpg,Dusty,Train
val/Dusty/Dust (40).jpg,Dusty,Train
val/Dusty/Dust (67).jpg,Dusty,Train
val/Dusty/Dust (79).jpg,Dusty,Train
val/Dusty/Dust (91).jpg,Dusty,Train
val/Dusty/Dust (94).jpg,Dusty,Train
val/Dusty/Dust (98).jpg,Dusty,Train
test/Electrical-damage/Electrical (132).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (18).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (19).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (31).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (44).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (50).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (66).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (73).jpg,Electrical-damage,Train
test/Electrical-damage/Electrical (88).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (1).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (10).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (101).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (106).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (108).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (11).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (112).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (113).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (116).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (117).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (118).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (120).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (123).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (125).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (127).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (13).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (130).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (133).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (135).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (137).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (138).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (140).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (146).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (151).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (152).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (153).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (2).png,Electrical-damage,Train
train/Electrical-damage/Electrical (20).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (22).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (23).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (26).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (45).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (55).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (61).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (65).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (70).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (72).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (77).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (79).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (85).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (90).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (92).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (94).jpg,Electrical-damage,Train
train/Electrical-damage/Electrical (97).jpg,Electrical-damage,Train
val/Electrical-damage/Electrical (142).jpg,Electrical-damage,Train
val/Electrical-damage/Electrical (144).jpg,Electrical-damage,Train
val/Electrical-damage/Electrical (4).png,Electrical-damage,Train
val/Electrical-damage/Electrical (71).jpg,Electrical-damage,Train
val/Electrical-damage/Electrical (96).jpg,Electrical-damage,Train
test/Physical-Damage/Physical (10).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (106).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (108).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (115).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (146).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (20).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (36).jpg,Physical-Damage,Train
test/Physical-Damage/Physical (82).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (102).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (107).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (111).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (116).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (117).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (12).jpg,Physical-Damage,Train
train/Physical-Damage/Physical (125).jpg,Physical-Damage,Train
